position,column,description,source,value_type,n_distinct,n_blank,possible_values,example,blank_means
1,clock_id,FALCONAge's identifier for the clock. The value to pass to fa.score(clocks=[...]) and the key every other FALCONAge output joins on.,registry key,text,175,0,175 distinct values,deconvolutebloodepicbcell,never blank
2,name,The clock's name as the registry records it. Usually identical to clock_id; kept separate because third-party catalogues file clocks under a display name and the two are not always the same string.,registry: name,text,175,0,175 distinct values,deconvolutebloodepicbcell,never blank
3,year,Publication year of the primary source.,registry: year,integer,16,0,16 distinct values,2018,year not recorded
4,species,"The species the clock was fitted on. Not the species it can be run on: the mammalian array carries 96% of Horvath2013's CpGs, so a zebra scores at high coverage against a clock fitted on people.",registry: species,text,4,0,Homo sapiens; Homo sapiens and Mus musculus; Mus musculus; multiple species,Homo sapiens,never blank
5,data_type,"The measurement the clock consumes: dna_methylation, clinical_chemistry, proteomic or transcriptomic.",registry: data_type,text,2,0,clinical_chemistry; dna_methylation,dna_methylation,never blank
6,generation,"The clock's generation in the field's own taxonomy. First generation is fitted to chronological age, second to a mortality or phenotype composite, third to a rate of change.",registry: generation,text,7,0,causal; first; mitotic; other; pace; second; system,other,generation not classified
7,tissue,"Tissues the clock was trained on, verbatim from the registry, semicolon-separated where there is more than one.",registry: tissue,list (semicolon-separated),31,0,31 distinct values,purified blood leukocytes,tissue not recorded
8,tissue_class,"tissue coarsened to one filterable class. multi_tissue wins over whole_blood when both are present: a clock fitted across tissues is not a blood clock, and filing it as one puts it on blood shortlists it does not belong on.",derived from tissue,text,7,0,blood_derived; brain; cell_culture; multi_tissue; other_tissue; perinatal_tissue; whole_blood,blood_derived,never blank; absent tissue becomes 'unstated'
9,population,"The training population as recorded, which is an AGE GROUP and not a health status. There is no health-status field in the registry.",registry: population,text,17,0,17 distinct values,adults,population not recorded
10,population_class,population coarsened to one filterable class.,derived from population,text,7,0,adults; all_ages; cell_culture; children; non_human; older_adults; perinatal,adults,never blank; absent becomes 'unstated'
11,training_target,"What the model was actually fitted to predict, verbatim. The single most important column for deciding what a score means, and the one most often assumed rather than read.",registry: training_target,list (semicolon-separated),66,0,66 distinct values,cell-type-specific methylation contrast,target not recorded
12,target_class,"training_target coarsened to one filterable class. 'disease' takes priority over every other rule, because it is the only class that says the training cohort was not healthy. 'clock_output' marks a model refitted to reproduce another clock rather than to predict a phenotype, which is what the PC clocks are.",derived from training_target,text,13,0,cell_composition; chronological_age; clock_output; disease; exposure; mitotic; mortality; other; pace_of_aging; phenotype; protein_or_analyte; sex_or_chromosome; unstated,cell_composition,never blank; absent becomes 'unstated'
13,translage_trained_phenotype,"The trained phenotype TranslAGE publishes for this clock. An independent check on training_target by a group that is not us; where the two disagree, read the paper.",external: translage.io,text,5,152,Chronological Age; Frailty; Intrinsic Capacity; Mortality; Pace of Aging,Chronological Age,clock not listed in TranslAGE
14,predicts,"What the clock's output is a prediction of, which is not always what it was trained on. A PC clock is trained on another clock's output and predicts age.",registry: predicts,list (semicolon-separated),92,0,92 distinct values,B cell proportion,not recorded
15,platform,Array or assay platforms the clock was trained on.,registry: platform,list (semicolon-separated),15,0,27K; 27K; 450K; 27K; 450K; EPICv1; 27K; bisulfite sequencing; 450K; 450K; EPICv1; EPICv1; EPICv1; 450K; Horvath MammalMethylChip40; Horvath MammalMethylChip40; Horvath MammalMethylChip320; RRBS; bisulfite sequencing; clinical laboratory assays; mammalian methylation array; targeted bisulfite sequencing,EPICv1,platform not recorded
16,n_features,"Number of features (CpGs, or markers for a clinical clock) in the published model. Where this disagrees with the shipped coefficient count the registry records the discrepancy on the clock entry.",registry: n_features,integer,44,129,44 distinct values,148,feature count not published
17,unit,"The unit of the score. Years, a proportion, a ratio, a log-hazard, or unitless.",registry: unit,text,27,0,27 distinct values,proportion,no unit declared
18,scale_type,"The formal scale of the output, which decides which downstream operations are defined. This is the field that stops age acceleration being computed on a pace of aging.",registry: scale_type,text,9,0,age_years; age_years_relative; divisions; gestational_weeks; mortality_log_hazard; pace_ratio; proportion; relative_score; telomere_kb,proportion,never blank
19,legal_operations,The downstream operations FALCONAge will perform on this clock's output. Anything absent here raises IllegalOperationError rather than returning a number.,registry: derived from scale_type,list (semicolon-separated),7,0,acceleration; correlate; difference; mean; acceleration; correlate; difference; mean; residual; compositional; correlate; difference; mean; correlate; difference; mean; rank; correlate; difference; mean; residual; correlate; hazard_ratio; mean; rank; correlate; rank,compositional; correlate; difference; mean,never blank
20,model_type,"The fitted model form: elastic net, principal-component linear, reference-based deconvolution, neural network, and so on.",registry: model_type,text,31,0,31 distinct values,reference-based constrained deconvolution,model form not recorded
21,availability,Whether the coefficients are distributable. 'bundled' ships inside the wheel and runs offline; 'licensed' is research-use-only and must be supplied by the user; 'untraced' is catalogued metadata whose coefficients have not been traced to a primary source.,registry: availability,text,3,0,bundled; licensed; untraced,untraced,never blank
